                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.5916,                 1.5974,                 2.1365,                0.60865,                0.65323,                0.67088,                0.34363,                 1.6684,                 1.4952,                  2.319,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.5289,                 1.5989,                 2.0977,                0.70846,                0.66935,                  0.685,                 0.3667,                 1.6499,                 1.4172,                 2.2774,               0.000416,               0.000416,               0.000416
                     83,                 1.5877,                 1.5678,                 2.1033,                0.71301,                0.64116,                0.66233,                0.35758,                 1.6239,                 1.4344,                 2.2553,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.5579,                 1.5541,                 2.1036,                0.75724,                0.62888,                0.68337,                0.36128,                 1.5947,                 1.4199,                 2.2436,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.5246,                 1.5719,                 2.0711,                0.73454,                0.60484,                0.70293,                0.37756,                 1.5974,                 1.4012,                 2.2313,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.5138,                 1.5088,                 2.0319,                 0.7499,                0.65323,                  0.693,                 0.3667,                 1.6442,                 1.4272,                 2.2731,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.5058,                 1.5537,                 2.0442,                0.77388,                 0.6129,                0.69411,                0.37063,                 1.6433,                 1.4239,                 2.2879,               0.000317,               0.000317,               0.000317
                     88,                  1.487,                 1.5192,                 2.0674,                0.74994,                0.67721,                 0.7279,                0.38064,                  1.592,                 1.3963,                 2.2289,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.4928,                 1.4981,                 2.0611,                0.73271,                0.70968,                0.72879,                0.37691,                 1.6218,                 1.3706,                 2.2267,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.5153,                 1.4978,                 2.0707,                0.72682,                0.66129,                0.73268,                0.38831,                 1.6007,                 1.3568,                 2.2274,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.4593,                 1.7213,                 2.1451,                0.78335,                0.64153,                0.73288,                0.37584,                 1.5819,                 1.3911,                 2.2405,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.3857,                 1.5198,                 2.0922,                0.79196,                0.64469,                0.70224,                0.34834,                 1.6407,                  1.494,                  2.277,               0.000218,               0.000218,               0.000218
                     93,                 1.4348,                  1.491,                 2.1639,                0.75843,                0.62903,                0.69557,                0.36173,                 1.6186,                 1.4897,                 2.2604,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.3503,                 1.4277,                 2.0547,                0.74135,                0.62903,                0.70027,                0.38248,                 1.5984,                 1.4471,                 2.2528,              0.0001784,              0.0001784,              0.0001784
                     95,                  1.339,                 1.3503,                 2.0175,                0.71335,                0.64516,                0.70407,                0.38392,                 1.5615,                 1.4263,                 2.2242,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.3473,                  1.316,                 2.0279,                0.76926,                0.67217,                0.73357,                0.40383,                 1.5278,                 1.3638,                 2.1818,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.3273,                 1.3041,                 1.9973,                 0.7915,                0.66935,                0.74742,                0.40618,                 1.5196,                 1.3531,                 2.1864,               0.000119,               0.000119,               0.000119
                     98,                 1.3425,                 1.3139,                 2.0208,                0.74983,                0.67682,                0.73482,                0.40261,                 1.5123,                 1.3608,                 2.1862,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.2607,                 1.2689,                 1.9699,                0.80556,                0.63484,                0.72033,                0.39901,                 1.5068,                 1.3609,                 2.1884,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.3074,                 1.2961,                 1.9929,                0.82125,                0.62903,                0.71526,                 0.4021,                 1.5098,                 1.3647,                 2.1842,               5.96e-05,               5.96e-05,               5.96e-05
